"country"	"country_code"	"1750-1755"	"1755-1760"	"1760-1765"	"1765-1770"	"1770-1775"	"1775-1780"	"1780-1785"	"1785-1790"	"1790-1795"	"1795-1800"	"1800-1805"	"1805-1810"	"1810-1815"	"1815-1820"	"1820-1825"	"1825-1830"	"1830-1835"	"1835-1840"	"1840-1845"	"1845-1850"	"1850-1855"	"1855-1860"	"1860-1865"	"1865-1870"	"1870-1875"	"1875-1880"	"1880-1885"	"1885-1890"	"1890-1895"	"1895-1900"	"1900-1905"	"1905-1910"	"1910-1915"	"1915-1920"	"1920-1925"	"1925-1930"	"1930-1935"	"1935-1940"	"1940-1945"	"1945-1950"	"Source"
"Hungary"	348																															37.23	38.49	39.53	40.43	42.50	46.67	50.23	53.05	55.76	58.46	NSO-DYB2005 (1900-1949 ) and HMD (1950+)
"Iceland"	352																		29.06	34.57	31.60	37.52	32.43	27.67	29.67	32.48	37.70	31.83	42.26	46.00	46.12	48.32	47.66	52.18	52.89	52.68	58.52	59.85	61.35	62.88	67.85	HMD (1838+)
"Ireland"	372																																				57.51	57.94	58.57	59.66	62.66	HLT (1925-1946) and HMD (1950+)
"Italy"	380																									30.79	33.54	34.92	37.02	39.18	41.99	43.16	44.35	46.57	33.87	49.38	51.41	54.47	55.01	48.77	59.76	HMD (1872+)
"Japan"	392																														43.70	43.99	44.13	44.06	42.91	42.32	44.65	46.08	47.43	48.28	52.64	"HLT & Japan Ministry of Health, Labour and Welfare (1891-1940) and HMD (1947+)"
"Luxembourg"	442																															45.56	45.61	47.21	46.45	53.75	52.80	56.27	58.65	49.62	59.75	HLT (1901-1959) and HMD (1960+)
"Netherlands"	528																					37.73	34.10	36.58	36.59	36.39	39.71	41.12	42.46	43.90	47.33	48.97	52.31	55.13	53.42	60.23	62.35	64.92	66.09	61.36	66.76	HMD (1850+)
"New Zealand"	554																															57.03	58.30	59.66	57.85	61.70	62.76	64.59	64.44	64.69	66.69	"HMD (1901-1947: Non-Maori, 1948+: Total)"
"Norway"	578																				45.20	47.89	48.96	45.98	47.31	47.70	48.84	48.67	49.24	48.67	51.37	53.75	55.37	56.32	54.49	60.11	61.61	63.63	64.65	63.43	68.68	HMD (1846+)
"Poland"	616																																			48.98	50.02	48.34	49.65	52.15	55.18	HLT (1922-1952) and HMD (1958+)
"Portugal"	620																																							48.39	52.92	HMD (1940+)
"Russian Federation"	643																																			26.21	34.16	28.15	32.38	40.72	46.72	"GapMinder (1920-1926), Andreev (1927-1940, 1946-1958) and HMD (1959+)"
"Slovenia"	705																																					50.21	51.45	54.01	57.58	HLT (1930-1982) and HMD (1983+)
"Spain"	724																															37.38	40.10	41.11	38.88	42.74	46.91	49.23	44.79	49.61	57.03	HLT (1900) and HMD (1908+)
"Sweden"	752	36.05	34.28	33.44	34.95	30.57	36.52	34.03	34.08	37.28	37.32	37.20	32.11	34.43	38.13	40.74	38.27	38.84	39.91	41.63	41.27	40.49	39.90	43.59	42.08	45.48	44.92	47.09	49.87	50.15	51.90	53.00	55.69	56.66	54.92	60.39	61.29	63.02	64.10	66.62	68.78	HMD (1751+)
"Switzerland"	756																										39.01	42.34	43.89	44.60	46.99	48.06	49.88	52.30	52.07	57.04	58.66	59.95	61.42	62.94	64.84	GapMinder (1875) and HMD (1876+)
"Taiwan, Province of China"	158																																				38.87	39.67	41.44	45.27	51.09	HLT (1926-1966) and HMD (1970+)
"United Kingdom"	826																			40.32	38.22	39.39	40.17	39.80	39.71	40.32	41.61	43.15	43.84	43.56	44.53	46.67	49.41	49.54	41.87	55.93	57.13	58.77	60.15	60.27	64.81	HMD (1841-1921: England)
"United States of America"	840																															48.35	49.47	52.11	51.64	56.73	57.18	58.80	59.79	62.07	64.37	HMD (1900+)
