name	country_code	reg_code	reg_name	area_code	area_name	location_type	tree_level	SortOrder	agcode_1500000	agcode_1501000	agcode_1502000	agcode_1503000	agcode_1517000	agcode_1518000	agcode_1636000	agcode_1637000	agcode_1829000	agcode_1830000	agcode_1831000	agcode_1832000	agcode_1833000	agcode_1834000	agcode_1835000	agcode_1836000	agcode_901000	agcode_902000	agcode_934000	agcode_941000	agcode_948000
Eastern Africa	910	-1		-1		3	4	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Burundi	108	910	Eastern Africa	903	Africa	4	5	29	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Comoros	174	910	Eastern Africa	903	Africa	4	5	30	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Djibouti	262	910	Eastern Africa	903	Africa	4	5	31	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Eritrea	232	910	Eastern Africa	903	Africa	4	5	32	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Ethiopia	231	910	Eastern Africa	903	Africa	4	5	33	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Kenya	404	910	Eastern Africa	903	Africa	4	5	34	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Madagascar	450	910	Eastern Africa	903	Africa	4	5	35	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Malawi	454	910	Eastern Africa	903	Africa	4	5	36	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Mauritius	480	910	Eastern Africa	903	Africa	4	5	37	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Mayotte	175	910	Eastern Africa	903	Africa	4	5	38	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Mozambique	508	910	Eastern Africa	903	Africa	4	5	39	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Reunion	638	910	Eastern Africa	903	Africa	4	5	40	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Rwanda	646	910	Eastern Africa	903	Africa	4	5	41	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Seychelles	690	910	Eastern Africa	903	Africa	4	5	42	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Somalia	706	910	Eastern Africa	903	Africa	4	5	43	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
South Sudan	728	910	Eastern Africa	903	Africa	4	5	44	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Uganda	800	910	Eastern Africa	903	Africa	4	5	45	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
United Republic of Tanzania	834	910	Eastern Africa	903	Africa	4	5	46	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Zambia	894	910	Eastern Africa	903	Africa	4	5	47	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Zimbabwe	716	910	Eastern Africa	903	Africa	4	5	48	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Middle Africa	911	-1		-1		3	4	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Angola	24	911	Middle Africa	903	Africa	4	5	50	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Cameroon	120	911	Middle Africa	903	Africa	4	5	51	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Central African Republic	140	911	Middle Africa	903	Africa	4	5	52	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Chad	148	911	Middle Africa	903	Africa	4	5	53	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Congo	178	911	Middle Africa	903	Africa	4	5	54	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Democratic Republic of the Congo	180	911	Middle Africa	903	Africa	4	5	55	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Equatorial Guinea	226	911	Middle Africa	903	Africa	4	5	56	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Gabon	266	911	Middle Africa	903	Africa	4	5	57	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Sao Tome and Principe	678	911	Middle Africa	903	Africa	4	5	58	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Northern Africa	912	-1		-1		3	4	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Algeria	12	912	Northern Africa	903	Africa	4	5	60	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Egypt	818	912	Northern Africa	903	Africa	4	5	61	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Libya	434	912	Northern Africa	903	Africa	4	5	62	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Morocco	504	912	Northern Africa	903	Africa	4	5	63	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Sudan	729	912	Northern Africa	903	Africa	4	5	64	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	-1	941	948
Tunisia	788	912	Northern Africa	903	Africa	4	5	65	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Western Sahara	732	912	Northern Africa	903	Africa	4	5	66	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Southern Africa	913	-1		-1		3	4	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Botswana	72	913	Southern Africa	903	Africa	4	5	68	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Eswatini	748	913	Southern Africa	903	Africa	4	5	69	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Lesotho	426	913	Southern Africa	903	Africa	4	5	70	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Namibia	516	913	Southern Africa	903	Africa	4	5	71	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
South Africa	710	913	Southern Africa	903	Africa	4	5	72	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Western Africa	914	-1		-1		3	4	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Benin	204	914	Western Africa	903	Africa	4	5	74	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Burkina Faso	854	914	Western Africa	903	Africa	4	5	75	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Cabo Verde	132	914	Western Africa	903	Africa	4	5	76	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Cote d'Ivoire	384	914	Western Africa	903	Africa	4	5	77	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Gambia	270	914	Western Africa	903	Africa	4	5	78	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Ghana	288	914	Western Africa	903	Africa	4	5	79	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Guinea	324	914	Western Africa	903	Africa	4	5	80	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Guinea-Bissau	624	914	Western Africa	903	Africa	4	5	81	1500	-1	-1	-1	-1	-1	-1	1637	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Liberia	430	914	Western Africa	903	Africa	4	5	82	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Mali	466	914	Western Africa	903	Africa	4	5	83	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Mauritania	478	914	Western Africa	903	Africa	4	5	84	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Niger	562	914	Western Africa	903	Africa	4	5	85	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Nigeria	566	914	Western Africa	903	Africa	4	5	86	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Saint Helena	654	914	Western Africa	903	Africa	4	5	87	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	934	-1	948
Senegal	686	914	Western Africa	903	Africa	4	5	88	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Sierra Leone	694	914	Western Africa	903	Africa	4	5	89	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Togo	768	914	Western Africa	903	Africa	4	5	90	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1834	-1	-1	-1	902	-1	941	948
Asia	935	-1		-1		2	3	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Central Asia	5500	-1		-1		3	4	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Kazakhstan	398	5500	Central Asia	935	Asia	4	5	93	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Kyrgyzstan	417	5500	Central Asia	935	Asia	4	5	94	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Tajikistan	762	5500	Central Asia	935	Asia	4	5	95	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Turkmenistan	795	5500	Central Asia	935	Asia	4	5	96	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Uzbekistan	860	5500	Central Asia	935	Asia	4	5	97	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Eastern Asia	906	-1		-1		3	4	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
China	156	906	Eastern Asia	935	Asia	4	5	99	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	-1
China, Hong Kong SAR	344	906	Eastern Asia	935	Asia	4	5	100	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	-1
China, Macao SAR	446	906	Eastern Asia	935	Asia	4	5	101	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	-1
China, Taiwan Province of China	158	906	Eastern Asia	935	Asia	4	5	102	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	-1
Dem. People's Republic of Korea	408	906	Eastern Asia	935	Asia	4	5	103	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Japan	392	906	Eastern Asia	935	Asia	4	5	104	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	901	-1	-1	-1	-1
Mongolia	496	906	Eastern Asia	935	Asia	4	5	105	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Republic of Korea	410	906	Eastern Asia	935	Asia	4	5	106	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Southern Asia	5501	-1		-1		3	4	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Afghanistan	4	5501	Southern Asia	935	Asia	4	5	108	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	-1	941	948
Bangladesh	50	5501	Southern Asia	935	Asia	4	5	109	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	-1	941	948
Bhutan	64	5501	Southern Asia	935	Asia	4	5	110	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	-1	941	948
India	356	5501	Southern Asia	935	Asia	4	5	111	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Iran (Islamic Republic of)	364	5501	Southern Asia	935	Asia	4	5	112	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Maldives	462	5501	Southern Asia	935	Asia	4	5	113	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Nepal	524	5501	Southern Asia	935	Asia	4	5	114	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	-1	941	948
Pakistan	586	5501	Southern Asia	935	Asia	4	5	115	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
Sri Lanka	144	5501	Southern Asia	935	Asia	4	5	116	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1831	-1	-1	-1	-1	-1	-1	902	934	-1	948
South-Eastern Asia	920	-1		-1		3	4	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Brunei Darussalam	96	920	South-Eastern Asia	935	Asia	4	5	118	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Cambodia	116	920	South-Eastern Asia	935	Asia	4	5	119	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	-1	941	948
Indonesia	360	920	South-Eastern Asia	935	Asia	4	5	120	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Lao People's Democratic Republic	418	920	South-Eastern Asia	935	Asia	4	5	121	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	-1	941	948
Malaysia	458	920	South-Eastern Asia	935	Asia	4	5	122	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Myanmar	104	920	South-Eastern Asia	935	Asia	4	5	123	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	-1	941	948
Philippines	608	920	South-Eastern Asia	935	Asia	4	5	124	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Singapore	702	920	South-Eastern Asia	935	Asia	4	5	125	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Thailand	764	920	South-Eastern Asia	935	Asia	4	5	126	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Timor-Leste	626	920	South-Eastern Asia	935	Asia	4	5	127	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	-1	941	948
Viet Nam	704	920	South-Eastern Asia	935	Asia	4	5	128	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	-1	-1	902	934	-1	948
Western Asia	922	-1		-1		3	4	129	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Armenia	51	922	Western Asia	935	Asia	4	5	130	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Azerbaijan	31	922	Western Asia	935	Asia	4	5	131	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Bahrain	48	922	Western Asia	935	Asia	4	5	132	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Cyprus	196	922	Western Asia	935	Asia	4	5	133	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Georgia	268	922	Western Asia	935	Asia	4	5	134	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Iraq	368	922	Western Asia	935	Asia	4	5	135	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Israel	376	922	Western Asia	935	Asia	4	5	136	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Jordan	400	922	Western Asia	935	Asia	4	5	137	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Kuwait	414	922	Western Asia	935	Asia	4	5	138	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Lebanon	422	922	Western Asia	935	Asia	4	5	139	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Oman	512	922	Western Asia	935	Asia	4	5	140	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Qatar	634	922	Western Asia	935	Asia	4	5	141	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Saudi Arabia	682	922	Western Asia	935	Asia	4	5	142	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
State of Palestine	275	922	Western Asia	935	Asia	4	5	143	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Syrian Arab Republic	760	922	Western Asia	935	Asia	4	5	144	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Turkiye	792	922	Western Asia	935	Asia	4	5	145	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
United Arab Emirates	784	922	Western Asia	935	Asia	4	5	146	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	934	-1	948
Yemen	887	922	Western Asia	935	Asia	4	5	147	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	-1	-1	902	-1	941	948
Europe	908	-1		-1		2	3	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Eastern Europe	923	-1		-1		3	4	149	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Belarus	112	923	Eastern Europe	908	Europe	4	5	150	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Bulgaria	100	923	Eastern Europe	908	Europe	4	5	151	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Czechia	203	923	Eastern Europe	908	Europe	4	5	152	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Hungary	348	923	Eastern Europe	908	Europe	4	5	153	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Poland	616	923	Eastern Europe	908	Europe	4	5	154	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Republic of Moldova	498	923	Eastern Europe	908	Europe	4	5	155	-1	-1	1502	-1	1517	-1	1636	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Romania	642	923	Eastern Europe	908	Europe	4	5	156	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
