"country"	"country_code"	"1754"	"1755"	"1756"	"1757"	"1758"	"1759"	"1760"	"1761"	"1762"	"1763"	"1764"	"1765"	"1766"	"1767"	"1768"	"1769"	"1770"	"1771"	"1772"	"1773"	"1774"	"1775"	"1776"	"1777"	"1778"	"1779"	"1780"	"1781"	"1782"	"1783"	"1784"	"1785"	"1786"	"1787"	"1788"	"1789"	"1790"	"1791"	"1792"	"1793"	"1794"	"1795"	"1796"	"1797"	"1798"	"1799"	"1800"	"1801"	"1802"	"1803"	"1804"	"1805"	"1806"	"1807"	"1808"	"1809"	"1810"	"1811"	"1812"	"1813"	"1814"	"1815"	"1816"	"1817"	"1818"	"1819"	"1820"	"1821"	"1822"	"1823"	"1824"	"1825"	"1826"	"1827"	"1828"	"1829"	"1830"	"1831"	"1832"	"1833"	"1834"	"1835"	"1836"	"1837"	"1838"	"1839"	"1840"	"1841"	"1842"	"1843"	"1844"	"1845"	"1846"	"1847"	"1848"	"1849"	"1850"	"1851"	"1852"	"1853"	"1854"	"1855"	"1856"	"1857"	"1858"	"1859"	"1860"	"1861"	"1862"	"1863"	"1864"	"1865"	"1866"	"1867"	"1868"	"1869"	"1870"	"1871"	"1872"	"1873"	"1874"	"1875"	"1876"	"1877"	"1878"	"1879"	"1880"	"1881"	"1882"	"1883"	"1884"	"1885"	"1886"	"1887"	"1888"	"1889"	"1890"	"1891"	"1892"	"1893"	"1894"	"1895"	"1896"	"1897"	"1898"	"1899"	"1900"	"1901"	"1902"	"1903"	"1904"	"1905"	"1906"	"1907"	"1908"	"1909"	"1910"	"1911"	"1912"	"1913"	"1914"	"1915"	"1916"	"1917"	"1918"	"1919"	"1920"	"1921"	"1922"	"1923"	"1924"	"1925"	"1926"	"1927"	"1928"	"1929"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"
"Norway"	578																																																																																													49.67	46.08	47.38	49.82	51.28	51.49	50.5	49.33	53.3	52.26	51.84	51.81	53.09	51.28	51.3	46.94	47.11	48.16	49.95	51.85	51.47	50.06	48.95	50.99	52.55	51.4	51.37	51.16	49.23	49.17	48.31	51.21	53.18	54.36	53.27	51.85	49.87	50.7	52	52.3	52.88	52.38	51.64	50.43	50.03	51.42	51.58	53.26	52.41	54.4	55.88	55.32	55.76	53.42	55.14	56.43	57.32	56.45	57.33	56.17	58.11	57.78	57.56	58.86	59.5	59.63	59.39	60.02	59.45	59.81	59.09	58.43	52.06	58.09	60.17	62.87	62.07	62.99	63.27	63.96	64.51	64.34	64.68	63.89	65.6	65.55	66.1	66.91	67.69	67.3	67.36	67.86	68.98	69.04	68.63	68.24	68.64	69.03	68.71	70.45	71.3	71.77	72.86	73.07
"Panama"	591																																																																																																																																																														29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	30.49	30.99	31.5	32.02	32.55	33.11	33.69	34.29	34.89	35.51	36.52	37.56	38.64	39.76	40.93	42.1	43.32	44.59	45.91	47.29	48.03	51.87	50.81	53.28
"Peru"	604																																																																																																																											38.38	38.37	38.34	38.32	38.31	38.28	38.26	38.25	38.23	38.2	38.19	38.17	38.14	38.13	38.11	38.1	38.07	38.05	38.04	38.01	38	37.98	37.96	37.94	37.92	37.91	37.89	37.86	37.85	37.83	37.82	37.79	37.78	37.9	38.03	38.14	38.27	38.39	38.52	38.65	38.76	38.89	39.02	39.15	39.28	39.41	39.54	39.67	39.81	39.94	40.06	40.21	40.33	40.47	40.6	40.74	40.88	41.01	41.15	41.29	41.44	41.58	41.72	41.86	42.01	41.49	41.01	41.11	42.28	43.02	44.06	46.19	46.19	46.11
"Portugal"	620																																																																																																																																																																							39.13	40.27	41.46	42.68	43.91	45.13	46.31	47.42	48.46	49.38	50.18	51.01	51.98	53.01	54	54.84	55.45	55.73	55.57	54.89	53.59	49.96	52.32	53.36	55.05	56.39	56.31	58.02	59.26	57.92
"Puerto Rico"	630																																																																																																																																																													38.64	38.65	38.65	38.66	38.66	38.68	38.69	38.72	38.75	38.79	38.85	38.95	39.13	39.37	39.68	40.02	40.41	40.83	41.28	41.73	42.19	42.71	43.32	43.96	44.58	45.11	45.42	45.54	45.69	46.08	46.92	48.25	49.92	51.83	53.91	56.07	58.25	60.36	62.33	64.12
"Russian Federation"	643																																																																																																																																																31.68	32.04	32.46	32.92	33.42	33.95	34.51	35.09	35.69	36.31	36.92	37.54	38.15	38.76	39.34	39.9	40.43	40.93	41.39	41.81	42.17	42.48	42.72	42.9	43	43.02	42.96	42.81	42.57	42.22	41.76	40.4	38.2	38.7	35.5	35.7	19.5	35.7	38.4	35.7	40	42.5	44.89	41.9	42.84	45.71	49.45	52.99	55.26	55.17	49.73	55.83	59.5
"Saint Lucia"	662																																																																																																																																																																																																			42.26	43.64
"Slovakia"	703																																																																																																																																																				38.64	39.05	39.47	39.88	40.3	40.71	41.12	41.54	41.95	42.36	42.77	43.17	43.57	43.95	44.33	44.71	45.08	45.45	45.82	46.19	46.56	46.94	47.33	47.72	48.13	48.54	48.97	49.41	49.87	50.35	50.85	51.36	51.89	52.44	52.99	53.56	54.14	54.73	55.33	55.94	56.56	57.19	57.83	58.47	59.12	59.78	60.45	61.12	61.79
"Slovenia"	705																																																																																																																																																																																			50.46	51	51.52	52.01	52.49	52.97	53.44	53.91	54.39	54.87	55.37	55.89	56.42	56.99	57.58	58.22	58.89	59.61
"Spain"	724																																																																																																																																																			35.67	35.59	36.24	37.22	38.39	39.62	40.78	41.74	42.35	42.18	42.02	40.77	43.75	43.59	43.7	44.01	44.89	42.14	30.8	42.15	40.5	43.23	45.1	46.02	47.8	48.49	49.22	49.97	50.11	51.16	51.11	51.07	52.73	53.3	54.09	54.6	55.57	52.8	52.17	51.8	52.64	51.47	55.32	57.63	59.24	60.55	60.65	61.87	63.92	63.5
"Sri Lanka"	144																																																																																																																																																														29.24	29.46	29.67	29.87	30.06	30.26	30.47	30.71	30.96	31.26	31.59	31.93	32.24	32.53	32.8	33.06	33.31	33.56	33.82	34.08	34.37	34.67	35	35.36	35.76	36.2	36.69	37.24	37.85	38.52	39.26	40.08	40.99	41.98	43.06	44.84	51.28	53.57	54.95
"Sweden"	752	39.07	37.68	37.88	35.97	34.45	39.95	41.23	39.19	35.11	31.83	37.99	37.87	39.75	39.02	36.28	35.63	37.82	36.89	30.47	18.83	41.4	39.26	42.81	38.69	36.81	33.44	44.06	39.19	38.01	35.56	32.7	34.64	39.4	39.74	38.24	34.75	35.42	39.61	40.54	40.85	41.85	37.8	40.29	41.34	42.96	41.05	33.21	38.09	40.5	41.88	41.46	42.43	37.3	37.81	32.28	28.96	33.67	36.27	36.96	38.61	40.15	41.9	43.67	41.67	41.99	38.65	41.88	39.57	44.49	47.39	47.27	47.61	45.42	43.85	40.29	38.62	43.45	41.17	42.55	44.7	40.89	49.35	47.25	43.06	42.23	41.77	46.14	47.24	45.53	44.86	46.91	48.5	43.94	43.78	47.29	46.84	47.29	46.1	44.4	41.96	46.51	44.81	44.03	39.74	43.61	46.19	50.29	49.01	45.76	47.11	46.51	47.48	46.9	47.19	45.2	42.72	46.84	50.67	50.45	50.29	46.06	46.38	46.31	47.81	48.08	50.37	49.15	49.93	50.02	50.4	50.59	50.38	51.89	52.62	53.5	53.37	51.77	52.5	52.02	52.5	53.05	55.29	54.6	54.96	56.03	52.3	53.63	54.09	55.57	56.39	56.43	55.67	57.69	57.85	57.46	59.48	59.03	59.43	59.24	59.97	59.4	58.36	59.28	58.65	51.36	57.89	60.24	62.27	62.1	64.05	63.08	63.68	63.77	62.99	63.2	63.41	64.19	63.63	64.91	65.96	66.07	66.05	65.77	66.15	67.09	67.71	68.13	68.26	69.79	70.08	69.28	69.52	70.67	70.82	72.13	72.16
"Switzerland"	756																																																																																																																											41.93	41.52	42.02	43.41	44.02	43.24	44.6	46.05	46.33	45.15	45.92	46.52	47.35	46.28	46.38	46.22	47.86	47.36	47.06	48.41	50.43	50.28	49.87	51.06	48.94	50.62	51.19	51.32	50.45	51.13	52.21	52.68	53.89	53.15	54.64	53.4	55.72	55.96	56.77	57.5	58.09	56.42	48.94	55.91	55.77	59.44	59.57	61.74	61.03	61.4	62.14	61.73	62.19	62.05	63.48	63.03	63.38	64.22	64.9	63.98	65.25	65.34	65.64	66.05	65.68	66.99	67.44	68.02	67.06	67.38	67.79	68.47	69.42	70.04
"Trinidad and Tobago"	780																																																																																																																																																														40.95	40.83	40.66	40.46	40.25	40.05	39.89	39.8	39.79	39.88	40.11	40.49	41	41.62	42.33	43.1	43.9	44.71	45.51	46.26	46.95	47.55	48.08	48.54	48.97	49.37	49.77	50.18	50.62	51.11	51.66	52.3	53.04	53.89	54.89	56.03	57.93	59.73	59.92
"Ukraine"	804																																																																																																																																																																													46.73	46.85	48.69	46.73	46.93	47.88	39.44	10.86	42.11	52.73	52.96	51.89	52.75	52.48	52.43	36.25	25.4	20.6	39.46	44.2	59.35	50.23	61.86	64.25
"United Kingdom"	826																																																																																																																																																				49.59	49.97	50.34	50.69	51.05	51.4	51.77	52.16	52.58	53.03	53.52	54.12	54.88	55.73	56.63	57.51	58.33	59.02	59.53	59.82	59.81	58.85	60.59	59.98	60.34	61.5	60.88	61.91	59.6	62.86	62	62.51	62.49	63.25	63.94	63.84	64.21	65.39	65.8	63.51	64.11	66.22	66.67	67.57	68.32	68.63	69.06	70.62	70.3
"United States of America"	840																																																																																																																																																			49.14	51.01	51.99	52.03	51.01	51.81	52.1	52.13	53.51	54.37	53.49	54.95	55.76	55.35	56.23	56.69	55.87	55.92	49.08	56.45	56.16	59.16	59.23	58.63	59.8	59.83	59.22	60.75	59.71	60.04	61.2	61.91	62.48	62.8	62.42	63.05	62.6	63.55	64.54	65.24	65.55	66.26	66.94	66.96	67.73	68.35	68.88	69.53	70.07	70.52
"Uruguay"	858																																																																																																																																																			30.36	31.34	32.37	33.44	34.56	36.4	38.36	40.47	42.72	43.16	43.6	44.05	44.5	44.96	45.42	45.89	46.36	46.84	47.33	47.83	48.32	48.83	49.34	49.86	50.39	50.92	51.46	52.01	52.56	53.13	53.7	54.27	54.86	55.45	56.05	56.66	54.01	53.61	54.49	56.4	56.03	56.94	57.9	57.9	58.88	59.82	61.12	61.1	62.15	63.74
"Venezuela (Bolivarian Republic of)"	862																																																																																																																																																																													32.62	32.77	32.93	33.08	33.23	33.38	33.91	34.45	35	35.56	36.13	37.12	38.17	39.15	40.16	41.22	42.22	43.26	44.33	45.45	45.36	47.52	49.34	51.3
